city,country,latitude,longitude,temperature,humidity,cloudiness,wind_speed
braco do norte,br,-28,-28,61,99,100,7
tagusao,ph,9,9,79,96,56,7
saint-marc,ht,19,19,81,77,12,3
guiratinga,br,-16,-16,78,82,92,5
dunmore town,bs,25,25,81,100,0,11
casambalangan,ph,18,18,81,100,80,14
manta,ec,45,45,28,76,0,2
upernavik,gl,72,72,18,100,20,15
jati,id,24,24,67,89,0,4
kununurra,au,-15,-15,84,51,24,5
takapau,nz,-40,-40,71,52,64,11
hammerfest,no,70,70,33,86,0,18
riga,lv,56,56,41,100,90,6
colon,mx,41,41,32,76,90,3
morros,br,-2,-2,82,69,0,17
ostersund,se,63,63,39,93,40,11
mafeteng,ls,-29,-29,44,69,0,2
novyy urengoy,ru,66,66,-6,75,36,18
santa marinella,it,42,42,55,93,0,4
sainte-rose,re,45,45,44,52,90,10
mwense,zm,-10,-10,63,98,76,2
xiaoshi,cn,30,30,31,82,0,2
puteyets,ru,65,65,14,80,24,6
palmer,us,-34,-34,59,54,0,3
barreirinha,br,-2,-2,85,80,12,2
shushenskoye,ru,53,53,35,69,0,8
lohja,fi,60,60,42,100,75,6
ilinskoye-khovanskoye,ru,56,56,32,95,80,3
drovyanaya,ru,51,51,3,91,24,4
oranjemund,na,-28,-28,61,85,48,19
goundam,ml,16,16,80,28,0,12
agirish,ru,61,61,13,52,36,7
agua branca,br,-5,-5,87,60,24,2
rafaela,ar,-31,-31,87,42,0,12
diego de almagro,cl,-26,-26,71,69,0,3
dromolaxia,cy,34,34,62,82,0,4
dalmau,in,26,26,57,68,0,2
riwaka,nz,-41,-41,58,97,92,15
caboolture,au,-27,-27,69,49,0,10
gweta,bw,-20,-20,71,38,8,15
boksitogorsk,ru,59,59,32,89,68,2
tuburan,ph,10,10,77,88,20,6
powell,us,40,40,42,65,40,7
balkhash,kz,46,46,33,100,80,18
kumano,jp,34,34,66,93,75,4
rocha,uy,-34,-34,77,55,8,13
guymon,us,36,36,37,79,90,11
lahaina,us,20,20,81,66,20,10
chililabombwe,zm,-12,-12,72,64,100,9
rantepao,id,-2,-2,65,100,68,1
zhuanghe,cn,39,39,45,100,0,12
katrineholm,se,59,59,45,100,90,3
irara,br,-8,-8,79,100,8,3
murray bridge,au,-35,-35,53,98,36,4
glamoc,ba,44,44,39,86,0,2
lander,us,42,42,35,38,1,6
dumai,id,1,1,74,100,92,2
hillsboro,us,39,39,37,78,90,9
triel-sur-seine,fr,48,48,46,81,0,4
kyaikto,mm,17,17,76,84,76,2
ndago,tz,0,0,54,100,20,1
temiscaming,ca,46,46,33,86,75,18
patillas,us,18,18,82,72,20,16
mabay,ph,20,20,86,58,40,9
matadi,cd,-5,-5,77,88,56,4
yucaipa,us,34,34,79,7,1,11
rio tercero,ar,-32,-32,80,55,32,19
guderup,dk,54,54,43,93,75,2
moramanga,mg,-18,-18,57,91,0,2
russkiy aktash,ru,55,55,32,79,90,17
jardim,br,-21,-21,81,65,48,12
monclova,mx,26,26,80,69,75,11
bowen,au,-20,-20,79,95,48,19
aldama,mx,22,22,82,82,0,12
barranca,pe,-10,-10,64,100,12,5
haverfordwest,gb,51,51,53,81,92,20
imperial,us,32,32,82,19,1,8
manavalakurichi,in,8,8,80,78,75,2
alghero,it,40,40,53,100,20,3
am timan,td,11,11,62,62,0,2
mahebourg,mu,-20,-20,77,78,40,13
maun,bw,-19,-19,77,36,0,6
kragujevac,rs,44,44,44,100,0,2
ajaccio,fr,41,41,56,87,0,5
melo,uy,-32,-32,79,50,0,13
bahile,ph,10,10,77,88,20,4
hermon,us,51,51,53,81,92,20
otradnoye,ru,59,59,39,93,75,4
eenhana,na,-17,-17,73,15,0,10
astaneh-ye ashrafiyeh,ir,37,37,55,93,40,1
boras,se,57,57,43,93,90,3
macheng,cn,31,31,31,86,0,3
riviere-au-renard,ca,49,49,42,60,75,9
phetchaburi,th,13,13,77,100,92,13
lenger,kz,42,42,30,100,0,6
malbork,pl,54,54,44,100,90,3
changping,cn,40,40,33,80,0,6
lundazi,zm,-12,-12,71,68,8,14
nuqui,co,5,5,76,100,80,5
bauchi,ng,10,10,68,40,0,4
fairbanks,us,64,64,16,86,90,3
ruteng,id,-8,-8,71,94,32,2
san mariano,ph,16,16,70,98,92,2
mananjary,mg,-19,-19,71,42,56,9
seoul,kr,37,37,53,66,90,25
yacuiba,bo,-22,-22,84,62,20,9
tansen,np,27,27,57,70,0,4
sopelana,es,43,43,53,76,40,9
rock sound,bs,24,24,82,98,76,11
magaria,ne,13,13,71,23,0,9
